Datetime,Date,Time,Temp,pH ,mV[pH],ORP[mV],EC,EC Abs,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L]
11/17/2021 6:53:07 p. m.,2021/11/17,6:53:07 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.793,58.5,4.06
11/17/2021 6:53:12 p. m.,2021/11/17,6:53:12 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.793,58.8,4.09
11/17/2021 6:53:17 p. m.,2021/11/17,6:53:17 p. m.,17.54,5.56,98.5,244.5,654,562,1.5,0.327,0.32,0,10.791,58.7,4.08
11/17/2021 6:53:22 p. m.,2021/11/17,6:53:22 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.79,58.9,4.09
11/17/2021 6:53:27 p. m.,2021/11/17,6:53:27 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.789,58.8,4.08
11/17/2021 6:53:32 p. m.,2021/11/17,6:53:32 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.791,58.4,4.06
11/17/2021 6:53:37 p. m.,2021/11/17,6:53:37 p. m.,17.54,5.56,98.5,244.5,654,562,1.5,0.327,0.32,0,10.792,58.3,4.05
11/17/2021 6:53:42 p. m.,2021/11/17,6:53:42 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.791,58.4,4.06
11/17/2021 6:53:47 p. m.,2021/11/17,6:53:47 p. m.,17.54,5.56,98.5,244.5,654,562,1.5,0.327,0.32,0,10.79,58.2,4.05
11/17/2021 6:53:52 p. m.,2021/11/17,6:53:52 p. m.,17.54,5.56,98.4,244.4,654,562,1.5,0.327,0.32,0,10.789,58.5,4.06
11/17/2021 6:53:57 p. m.,2021/11/17,6:53:57 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.79,58.8,4.09
11/17/2021 6:54:02 p. m.,2021/11/17,6:54:02 p. m.,17.54,5.56,98.6,244.4,654,562,1.5,0.327,0.32,0,10.791,58.8,4.09
11/17/2021 6:54:07 p. m.,2021/11/17,6:54:07 p. m.,17.54,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.791,58.6,4.07
11/17/2021 6:54:12 p. m.,2021/11/17,6:54:12 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.791,58.4,4.06
11/17/2021 6:54:17 p. m.,2021/11/17,6:54:17 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.79,58.1,4.04
11/17/2021 6:54:22 p. m.,2021/11/17,6:54:22 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.79,57.7,4.01
11/17/2021 6:54:27 p. m.,2021/11/17,6:54:27 p. m.,17.54,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.791,57.8,4.02
11/17/2021 6:54:32 p. m.,2021/11/17,6:54:32 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.791,57.9,4.03
11/17/2021 6:54:37 p. m.,2021/11/17,6:54:37 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.791,57.8,4.02
11/17/2021 6:54:42 p. m.,2021/11/17,6:54:42 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.791,58.1,4.04
11/17/2021 6:54:47 p. m.,2021/11/17,6:54:47 p. m.,17.54,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.792,58.8,4.09
11/17/2021 6:54:52 p. m.,2021/11/17,6:54:52 p. m.,17.54,5.56,98.6,244.4,654,562,1.5,0.327,0.32,0,10.793,59,4.1
11/17/2021 6:54:57 p. m.,2021/11/17,6:54:57 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.792,58.8,4.09
11/17/2021 6:55:02 p. m.,2021/11/17,6:55:02 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.791,58.3,4.05
11/17/2021 6:55:07 p. m.,2021/11/17,6:55:07 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.79,57.8,4.02
11/17/2021 6:55:12 p. m.,2021/11/17,6:55:12 p. m.,17.54,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.79,57.4,3.99
11/17/2021 6:55:17 p. m.,2021/11/17,6:55:17 p. m.,17.54,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.791,57.3,3.98
11/17/2021 6:55:22 p. m.,2021/11/17,6:55:22 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.791,57.3,3.99
11/17/2021 6:55:27 p. m.,2021/11/17,6:55:27 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.792,57.3,3.98
11/17/2021 6:55:32 p. m.,2021/11/17,6:55:32 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.793,57,3.97
11/17/2021 6:55:37 p. m.,2021/11/17,6:55:37 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.794,57.8,4.02
11/17/2021 6:55:42 p. m.,2021/11/17,6:55:42 p. m.,17.54,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.794,59.1,4.11
11/17/2021 6:55:47 p. m.,2021/11/17,6:55:47 p. m.,17.54,5.56,98.4,244.4,654,562,1.5,0.327,0.32,0,10.794,59,4.1
11/17/2021 6:55:52 p. m.,2021/11/17,6:55:52 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.794,58.6,4.07
11/17/2021 6:55:57 p. m.,2021/11/17,6:55:57 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.793,58.6,4.07
11/17/2021 6:56:02 p. m.,2021/11/17,6:56:02 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.793,59,4.1
11/17/2021 6:56:07 p. m.,2021/11/17,6:56:07 p. m.,17.54,5.56,98.5,244.4,654,562,1.5,0.327,0.32,0,10.795,58.7,4.08
11/17/2021 6:56:12 p. m.,2021/11/17,6:56:12 p. m.,17.53,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.792,58.1,4.04
11/17/2021 6:56:17 p. m.,2021/11/17,6:56:17 p. m.,17.53,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.796,57.6,4
11/17/2021 6:56:22 p. m.,2021/11/17,6:56:22 p. m.,17.53,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.795,57.9,4.03
11/17/2021 6:56:27 p. m.,2021/11/17,6:56:27 p. m.,17.53,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.793,59.5,4.14
11/17/2021 6:56:32 p. m.,2021/11/17,6:56:32 p. m.,17.54,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.796,59.1,4.11
11/17/2021 6:56:37 p. m.,2021/11/17,6:56:37 p. m.,17.54,5.55,98.7,244.5,655,562,1.5,0.327,0.32,0,10.793,58.6,4.08
11/17/2021 6:56:42 p. m.,2021/11/17,6:56:42 p. m.,17.54,5.56,98.5,244.5,655,562,1.5,0.327,0.32,0,10.793,58.3,4.05
11/17/2021 6:56:47 p. m.,2021/11/17,6:56:47 p. m.,17.54,5.56,98.6,244.5,655,562,1.5,0.327,0.32,0,10.794,60.2,4.19
11/17/2021 6:56:52 p. m.,2021/11/17,6:56:52 p. m.,17.54,5.56,98.6,244.5,655,562,1.5,0.327,0.32,0,10.794,59.8,4.16
11/17/2021 6:56:57 p. m.,2021/11/17,6:56:57 p. m.,17.54,5.56,98.6,244.5,655,562,1.5,0.327,0.32,0,10.792,59.7,4.15
11/17/2021 6:57:02 p. m.,2021/11/17,6:57:02 p. m.,17.54,5.56,98.6,244.5,655,562,1.5,0.327,0.32,0,10.793,59.5,4.13
11/17/2021 6:57:07 p. m.,2021/11/17,6:57:07 p. m.,17.54,5.56,98.6,244.5,655,562,1.5,0.327,0.32,0,10.793,59.7,4.15
11/17/2021 6:57:12 p. m.,2021/11/17,6:57:12 p. m.,17.54,5.56,98.6,244.5,655,562,1.5,0.327,0.32,0,10.793,59.7,4.15
11/17/2021 6:57:17 p. m.,2021/11/17,6:57:17 p. m.,17.54,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.792,59,4.1
11/17/2021 6:57:22 p. m.,2021/11/17,6:57:22 p. m.,17.54,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.794,58.4,4.06
11/17/2021 6:57:27 p. m.,2021/11/17,6:57:27 p. m.,17.53,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.794,59,4.1
11/17/2021 6:57:32 p. m.,2021/11/17,6:57:32 p. m.,17.53,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.797,59.3,4.13
11/17/2021 6:57:37 p. m.,2021/11/17,6:57:37 p. m.,17.53,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.798,58.9,4.1
11/17/2021 6:57:42 p. m.,2021/11/17,6:57:42 p. m.,17.53,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.797,58.5,4.07
11/17/2021 6:57:47 p. m.,2021/11/17,6:57:47 p. m.,17.54,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.797,58.3,4.06
11/17/2021 6:57:52 p. m.,2021/11/17,6:57:52 p. m.,17.53,5.56,98.5,244.4,655,562,1.5,0.327,0.32,0,10.797,59.2,4.12
11/17/2021 6:57:57 p. m.,2021/11/17,6:57:57 p. m.,17.53,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.795,59.1,4.11
11/17/2021 6:58:02 p. m.,2021/11/17,6:58:02 p. m.,17.53,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.795,59.9,4.17
11/17/2021 6:58:07 p. m.,2021/11/17,6:58:07 p. m.,17.53,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.793,60.2,4.19
11/17/2021 6:58:12 p. m.,2021/11/17,6:58:12 p. m.,17.53,5.55,98.7,244.4,655,562,1.5,0.327,0.32,0,10.793,59.9,4.17
11/17/2021 6:58:17 p. m.,2021/11/17,6:58:17 p. m.,17.53,5.55,98.6,244.4,655,562,1.5,0.327,0.32,0,10.793,60.3,4.2
11/17/2021 6:58:22 p. m.,2021/11/17,6:58:22 p. m.,17.53,5.56,98.6,244.4,654,562,1.5,0.327,0.32,0,10.794,60.2,4.18
11/17/2021 6:58:27 p. m.,2021/11/17,6:58:27 p. m.,17.53,5.55,98.6,244.4,654,562,1.5,0.327,0.32,0,10.794,59.7,4.15
11/17/2021 6:58:32 p. m.,2021/11/17,6:58:32 p. m.,17.53,5.55,98.6,244.4,655,562,1.5,0.327,0.32,0,10.795,59.1,4.11
11/17/2021 6:58:37 p. m.,2021/11/17,6:58:37 p. m.,17.53,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.793,58.7,4.08
11/17/2021 6:58:42 p. m.,2021/11/17,6:58:42 p. m.,17.53,5.55,98.6,244.4,655,562,1.5,0.327,0.32,0,10.793,58.4,4.06
11/17/2021 6:58:47 p. m.,2021/11/17,6:58:47 p. m.,17.53,5.55,98.6,244.4,655,562,1.5,0.327,0.32,0,10.792,58.2,4.05
11/17/2021 6:58:52 p. m.,2021/11/17,6:58:52 p. m.,17.53,5.56,98.6,244.3,655,562,1.5,0.327,0.32,0,10.791,58.1,4.04
11/17/2021 6:58:57 p. m.,2021/11/17,6:58:57 p. m.,17.53,5.56,98.6,244.3,654,562,1.5,0.327,0.32,0,10.792,58.2,4.05
11/17/2021 6:59:02 p. m.,2021/11/17,6:59:02 p. m.,17.53,5.55,98.6,244.3,654,562,1.5,0.327,0.32,0,10.793,58.4,4.06
11/17/2021 6:59:07 p. m.,2021/11/17,6:59:07 p. m.,17.53,5.56,98.6,244.3,654,562,1.5,0.327,0.32,0,10.793,58.1,4.04
11/17/2021 6:59:12 p. m.,2021/11/17,6:59:12 p. m.,17.53,5.55,98.6,244.3,654,562,1.5,0.327,0.32,0,10.793,58.2,4.05
11/17/2021 6:59:17 p. m.,2021/11/17,6:59:17 p. m.,17.53,5.55,98.6,244.3,654,562,1.5,0.327,0.32,0,10.794,58.4,4.06
11/17/2021 6:59:22 p. m.,2021/11/17,6:59:22 p. m.,17.53,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.793,60.1,4.18
11/17/2021 6:59:27 p. m.,2021/11/17,6:59:27 p. m.,17.53,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.795,59.9,4.16
11/17/2021 6:59:32 p. m.,2021/11/17,6:59:32 p. m.,17.53,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.795,59.6,4.15
11/17/2021 6:59:37 p. m.,2021/11/17,6:59:37 p. m.,17.53,5.55,98.6,244.3,655,562,1.5,0.327,0.32,0,10.794,59.4,4.13
11/17/2021 6:59:42 p. m.,2021/11/17,6:59:42 p. m.,17.53,5.55,98.6,244.3,654,562,1.5,0.327,0.32,0,10.796,59.2,4.12
11/17/2021 6:59:47 p. m.,2021/11/17,6:59:47 p. m.,17.53,5.55,98.6,244.3,654,562,1.5,0.327,0.32,0,10.795,59.2,4.11
11/17/2021 6:59:52 p. m.,2021/11/17,6:59:52 p. m.,17.53,5.55,98.6,244.3,654,562,1.5,0.327,0.32,0,10.797,59.1,4.11
11/17/2021 6:59:57 p. m.,2021/11/17,6:59:57 p. m.,17.53,5.55,98.6,244.3,655,562,1.5,0.327,0.32,0,10.796,59.1,4.11
11/17/2021 7:00:02 p. m.,2021/11/17,7:00:02 p. m.,17.53,5.56,98.6,244.3,654,562,1.5,0.327,0.32,0,10.796,58.8,4.09
11/17/2021 7:00:07 p. m.,2021/11/17,7:00:07 p. m.,17.53,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.795,58.5,4.07
11/17/2021 7:00:12 p. m.,2021/11/17,7:00:12 p. m.,17.53,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.795,59.2,4.12
11/17/2021 7:00:17 p. m.,2021/11/17,7:00:17 p. m.,17.53,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.796,59.2,4.12
11/17/2021 7:00:22 p. m.,2021/11/17,7:00:22 p. m.,17.53,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.793,59.5,4.14
11/17/2021 7:00:27 p. m.,2021/11/17,7:00:27 p. m.,17.53,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.793,60.5,4.21
11/17/2021 7:00:32 p. m.,2021/11/17,7:00:32 p. m.,17.53,5.56,98.6,244.4,655,562,1.5,0.327,0.32,0,10.793,60.1,4.18
11/17/2021 7:00:37 p. m.,2021/11/17,7:00:37 p. m.,17.53,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.792,59.4,4.13
11/17/2021 7:00:42 p. m.,2021/11/17,7:00:42 p. m.,17.53,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.792,58.8,4.09
11/17/2021 7:00:47 p. m.,2021/11/17,7:00:47 p. m.,17.53,5.55,98.7,244.4,655,562,1.5,0.327,0.32,0,10.794,58.5,4.07
11/17/2021 7:00:52 p. m.,2021/11/17,7:00:52 p. m.,17.52,5.55,98.7,244.4,655,562,1.5,0.327,0.32,0,10.794,58.5,4.07
11/17/2021 7:00:57 p. m.,2021/11/17,7:00:57 p. m.,17.52,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.792,58.6,4.07
11/17/2021 7:01:02 p. m.,2021/11/17,7:01:02 p. m.,17.52,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.791,58.4,4.06
11/17/2021 7:01:07 p. m.,2021/11/17,7:01:07 p. m.,17.53,5.55,98.7,244.4,655,562,1.5,0.327,0.32,0,10.794,58.1,4.04
11/17/2021 7:01:12 p. m.,2021/11/17,7:01:12 p. m.,17.53,5.55,98.7,244.4,654,562,1.5,0.327,0.32,0,10.794,57.7,4.02
11/17/2021 7:01:17 p. m.,2021/11/17,7:01:17 p. m.,17.52,5.55,98.7,244.4,654,562,1.5,0.327,0.32,0,10.795,58.5,4.07
11/17/2021 7:01:22 p. m.,2021/11/17,7:01:22 p. m.,17.53,5.55,98.7,244.4,654,562,1.5,0.327,0.32,0,10.796,58.6,4.08
11/17/2021 7:01:27 p. m.,2021/11/17,7:01:27 p. m.,17.53,5.55,98.7,244.4,654,562,1.5,0.327,0.32,0,10.794,58.4,4.06
11/17/2021 7:01:32 p. m.,2021/11/17,7:01:32 p. m.,17.52,5.55,98.7,244.4,654,562,1.5,0.327,0.32,0,10.795,58.3,4.06
11/17/2021 7:01:37 p. m.,2021/11/17,7:01:37 p. m.,17.52,5.55,98.7,244.4,654,562,1.5,0.327,0.32,0,10.795,58.1,4.04
11/17/2021 7:01:42 p. m.,2021/11/17,7:01:42 p. m.,17.52,5.55,98.7,244.4,654,562,1.5,0.327,0.32,0,10.792,57.8,4.02
11/17/2021 7:01:47 p. m.,2021/11/17,7:01:47 p. m.,17.52,5.55,98.6,244.3,654,562,1.5,0.327,0.32,0,10.794,57.5,4
11/17/2021 7:01:52 p. m.,2021/11/17,7:01:52 p. m.,17.52,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.794,57.3,3.99
11/17/2021 7:01:57 p. m.,2021/11/17,7:01:57 p. m.,17.52,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.794,57.7,4.01
11/17/2021 7:02:02 p. m.,2021/11/17,7:02:02 p. m.,17.52,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.795,58.2,4.04
11/17/2021 7:02:07 p. m.,2021/11/17,7:02:07 p. m.,17.52,5.55,98.7,244.4,655,562,1.5,0.327,0.32,0,10.795,59.2,4.12
11/17/2021 7:02:12 p. m.,2021/11/17,7:02:12 p. m.,17.52,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.791,59.5,4.14
11/17/2021 7:02:17 p. m.,2021/11/17,7:02:17 p. m.,17.52,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.793,59.1,4.11
11/17/2021 7:02:22 p. m.,2021/11/17,7:02:22 p. m.,17.52,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.794,58.4,4.06
11/17/2021 7:02:27 p. m.,2021/11/17,7:02:27 p. m.,17.52,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.792,58,4.04
11/17/2021 7:02:32 p. m.,2021/11/17,7:02:32 p. m.,17.52,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.792,58.1,4.04
11/17/2021 7:02:37 p. m.,2021/11/17,7:02:37 p. m.,17.52,5.55,98.7,244.3,655,562,1.5,0.327,0.32,0,10.793,58.8,4.09
11/17/2021 7:02:42 p. m.,2021/11/17,7:02:42 p. m.,17.52,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.792,58.6,4.08
11/17/2021 7:02:47 p. m.,2021/11/17,7:02:47 p. m.,17.52,5.55,98.7,244.3,654,562,1.5,0.327,0.32,0,10.794,58.2,4.05
11/17/2021 7:02:52 p. m.,2021/11/17,7:02:52 p. m.,17.52,5.55,98.8,244.3,654,562,1.5,0.327,0.32,0,10.793,58.3,4.06
11/17/2021 7:02:57 p. m.,2021/11/17,7:02:57 p. m.,17.52,5.55,98.8,244.3,654,562,1.5,0.327,0.32,0,10.794,60.2,4.19
11/17/2021 7:03:02 p. m.,2021/11/17,7:03:02 p. m.,17.52,5.55,98.8,244.3,654,562,1.5,0.327,0.32,0,10.794,59.8,4.16
11/17/2021 7:03:07 p. m.,2021/11/17,7:03:07 p. m.,17.52,5.55,98.8,244.3,654,562,1.5,0.327,0.32,0,10.795,59.8,4.16
11/17/2021 7:03:12 p. m.,2021/11/17,7:03:12 p. m.,17.52,5.55,98.8,244.3,655,562,1.5,0.327,0.32,0,10.796,59.5,4.14
11/17/2021 7:03:17 p. m.,2021/11/17,7:03:17 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.794,59,4.11
11/17/2021 7:03:22 p. m.,2021/11/17,7:03:22 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.795,59,4.11
11/17/2021 7:03:27 p. m.,2021/11/17,7:03:27 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.795,58.6,4.07
11/17/2021 7:03:32 p. m.,2021/11/17,7:03:32 p. m.,17.52,5.55,98.7,244.2,655,562,1.5,0.327,0.32,0,10.795,58.4,4.06
11/17/2021 7:03:37 p. m.,2021/11/17,7:03:37 p. m.,17.52,5.55,98.8,244.3,655,562,1.5,0.327,0.32,0,10.793,58,4.03
11/17/2021 7:03:42 p. m.,2021/11/17,7:03:42 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.792,58,4.03
11/17/2021 7:03:47 p. m.,2021/11/17,7:03:47 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.792,58.3,4.06
11/17/2021 7:03:52 p. m.,2021/11/17,7:03:52 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.793,58,4.03
11/17/2021 7:03:57 p. m.,2021/11/17,7:03:57 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.792,57.9,4.02
11/17/2021 7:04:02 p. m.,2021/11/17,7:04:02 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.794,58.6,4.08
11/17/2021 7:04:07 p. m.,2021/11/17,7:04:07 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.794,59,4.1
11/17/2021 7:04:12 p. m.,2021/11/17,7:04:12 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.794,58.6,4.08
11/17/2021 7:04:17 p. m.,2021/11/17,7:04:17 p. m.,17.52,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.793,58.1,4.04
11/17/2021 7:04:22 p. m.,2021/11/17,7:04:22 p. m.,17.52,5.55,98.8,244.1,655,562,1.5,0.327,0.32,0,10.795,58,4.03
11/17/2021 7:04:27 p. m.,2021/11/17,7:04:27 p. m.,17.52,5.55,98.8,244.1,654,561,1.5,0.327,0.32,0,10.794,57.8,4.02
11/17/2021 7:04:32 p. m.,2021/11/17,7:04:32 p. m.,17.52,5.55,98.8,244.1,655,562,1.5,0.327,0.32,0,10.794,57.5,4
11/17/2021 7:04:37 p. m.,2021/11/17,7:04:37 p. m.,17.52,5.55,98.8,244.1,655,562,1.5,0.327,0.32,0,10.791,57.5,4
11/17/2021 7:04:42 p. m.,2021/11/17,7:04:42 p. m.,17.52,5.55,98.8,244.1,655,562,1.5,0.327,0.32,0,10.791,57.1,3.97
11/17/2021 7:04:47 p. m.,2021/11/17,7:04:47 p. m.,17.52,5.55,98.8,244.1,655,562,1.5,0.327,0.32,0,10.793,56.9,3.96
11/17/2021 7:04:52 p. m.,2021/11/17,7:04:52 p. m.,17.52,5.55,98.8,244.1,655,562,1.5,0.327,0.32,0,10.792,56.9,3.96
11/17/2021 7:04:57 p. m.,2021/11/17,7:04:57 p. m.,17.52,5.55,98.8,244.1,655,562,1.5,0.327,0.32,0,10.791,57.2,3.98
11/17/2021 7:05:02 p. m.,2021/11/17,7:05:02 p. m.,17.52,5.55,98.8,244.1,655,562,1.5,0.327,0.32,0,10.793,57.6,4
11/17/2021 7:05:07 p. m.,2021/11/17,7:05:07 p. m.,17.52,5.55,98.8,244.1,654,561,1.5,0.327,0.32,0,10.791,57.6,4
11/17/2021 7:05:12 p. m.,2021/11/17,7:05:12 p. m.,17.51,5.55,98.8,244.1,654,561,1.5,0.327,0.32,0,10.793,57.7,4.01
11/17/2021 7:05:17 p. m.,2021/11/17,7:05:17 p. m.,17.51,5.55,98.8,244.1,655,561,1.5,0.327,0.32,0,10.792,58.1,4.04
11/17/2021 7:05:22 p. m.,2021/11/17,7:05:22 p. m.,17.51,5.55,98.8,244.1,655,561,1.5,0.327,0.32,0,10.79,57.9,4.03
11/17/2021 7:05:27 p. m.,2021/11/17,7:05:27 p. m.,17.51,5.55,98.8,244.1,655,561,1.5,0.327,0.32,0,10.791,57.8,4.02
11/17/2021 7:05:32 p. m.,2021/11/17,7:05:32 p. m.,17.51,5.55,98.8,244.1,655,561,1.5,0.327,0.32,0,10.79,57.6,4
11/17/2021 7:05:37 p. m.,2021/11/17,7:05:37 p. m.,17.51,5.55,98.8,244.1,655,561,1.5,0.327,0.32,0,10.791,57.3,3.99
11/17/2021 7:05:42 p. m.,2021/11/17,7:05:42 p. m.,17.51,5.55,98.8,244.2,655,561,1.5,0.327,0.32,0,10.792,57.4,3.99
11/17/2021 7:05:47 p. m.,2021/11/17,7:05:47 p. m.,17.51,5.55,98.8,244.2,654,561,1.5,0.327,0.32,0,10.792,58.1,4.04
11/17/2021 7:05:52 p. m.,2021/11/17,7:05:52 p. m.,17.51,5.55,98.8,244.2,655,561,1.5,0.327,0.32,0,10.793,59.9,4.16
11/17/2021 7:05:57 p. m.,2021/11/17,7:05:57 p. m.,17.51,5.55,98.8,244.2,655,561,1.5,0.327,0.32,0,10.793,60.5,4.21
11/17/2021 7:06:02 p. m.,2021/11/17,7:06:02 p. m.,17.51,5.55,98.8,244.2,655,562,1.5,0.327,0.32,0,10.792,60,4.17
11/17/2021 7:06:07 p. m.,2021/11/17,7:06:07 p. m.,17.51,5.55,98.8,244.2,655,561,1.5,0.327,0.32,0,10.792,59.6,4.14
11/17/2021 7:06:12 p. m.,2021/11/17,7:06:12 p. m.,17.51,5.55,98.8,244.2,655,561,1.5,0.327,0.32,0,10.79,59.8,4.16
11/17/2021 7:06:17 p. m.,2021/11/17,7:06:17 p. m.,17.51,5.55,98.9,244.2,655,561,1.5,0.327,0.32,0,10.792,59.6,4.15
11/17/2021 7:06:22 p. m.,2021/11/17,7:06:22 p. m.,17.51,5.55,98.8,244.2,655,561,1.5,0.327,0.32,0,10.791,59.3,4.12
11/17/2021 7:06:27 p. m.,2021/11/17,7:06:27 p. m.,17.51,5.55,98.8,244.2,655,561,1.5,0.327,0.32,0,10.789,58.7,4.08
11/17/2021 7:06:32 p. m.,2021/11/17,7:06:32 p. m.,17.51,5.55,98.8,244.2,655,561,1.5,0.327,0.32,0,10.79,58.3,4.05
11/17/2021 7:06:37 p. m.,2021/11/17,7:06:37 p. m.,17.51,5.55,98.8,244.3,655,561,1.5,0.327,0.32,0,10.788,58.8,4.09
11/17/2021 7:06:42 p. m.,2021/11/17,7:06:42 p. m.,17.51,5.55,98.8,244.3,655,561,1.5,0.327,0.32,0,10.791,59.4,4.13
11/17/2021 7:06:47 p. m.,2021/11/17,7:06:47 p. m.,17.51,5.55,98.8,244.3,655,561,1.5,0.327,0.32,0,10.79,59.2,4.12
11/17/2021 7:06:52 p. m.,2021/11/17,7:06:52 p. m.,17.51,5.55,98.8,244.3,655,561,1.5,0.327,0.32,0,10.79,59.3,4.13
11/17/2021 7:06:57 p. m.,2021/11/17,7:06:57 p. m.,17.51,5.55,98.8,244.3,655,561,1.5,0.327,0.32,0,10.79,59.1,4.11
11/17/2021 7:07:02 p. m.,2021/11/17,7:07:02 p. m.,17.51,5.55,98.8,244.3,655,561,1.5,0.327,0.32,0,10.791,58.6,4.08
11/17/2021 7:07:07 p. m.,2021/11/17,7:07:07 p. m.,17.51,5.55,98.8,244.3,655,561,1.5,0.327,0.32,0,10.791,58.6,4.08
11/17/2021 7:07:12 p. m.,2021/11/17,7:07:12 p. m.,17.51,5.55,98.8,244.3,655,561,1.5,0.327,0.32,0,10.791,58.6,4.08
