Datetime,Date,Time,Temp,pH ,mV[pH],ORP[mV],EC uS/cm,EC Abs uS/cm,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L],
11/22/2021 6:36:54 p. m.,2021/11/22,6:36:54 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.774,49.3,3.64,
11/22/2021 6:36:59 p. m.,2021/11/22,6:36:59 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.773,49.5,3.65,
11/22/2021 6:37:04 p. m.,2021/11/22,6:37:04 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.773,49.9,3.68,
11/22/2021 6:37:09 p. m.,2021/11/22,6:37:09 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.772,50.2,3.71,
11/22/2021 6:37:14 p. m.,2021/11/22,6:37:14 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.773,50.5,3.73,
11/22/2021 6:37:19 p. m.,2021/11/22,6:37:19 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.774,50.8,3.75,
11/22/2021 6:37:24 p. m.,2021/11/22,6:37:24 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.772,50.9,3.76,
11/22/2021 6:37:29 p. m.,2021/11/22,6:37:29 p. m.,14.66,4.88,133.7,308.9,688,553,1.5,0.344,0.34,0.0,10.772,51.1,3.77,
11/22/2021 6:37:34 p. m.,2021/11/22,6:37:34 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,51.2,3.78,
11/22/2021 6:37:39 p. m.,2021/11/22,6:37:39 p. m.,14.66,4.88,133.8,309.0,688,553,1.5,0.344,0.34,0.0,10.772,51.4,3.79,
11/22/2021 6:37:44 p. m.,2021/11/22,6:37:44 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,51.5,3.80,
11/22/2021 6:37:49 p. m.,2021/11/22,6:37:49 p. m.,14.66,4.88,133.7,309.0,688,553,1.5,0.344,0.34,0.0,10.772,51.5,3.80,
11/22/2021 6:37:54 p. m.,2021/11/22,6:37:54 p. m.,14.66,4.88,133.7,309.0,688,553,1.5,0.344,0.34,0.0,10.770,51.6,3.81,
11/22/2021 6:37:59 p. m.,2021/11/22,6:37:59 p. m.,14.66,4.88,133.7,309.0,688,553,1.5,0.344,0.34,0.0,10.772,51.6,3.81,
11/22/2021 6:38:04 p. m.,2021/11/22,6:38:04 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,51.6,3.81,
11/22/2021 6:38:09 p. m.,2021/11/22,6:38:09 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.772,51.5,3.80,
11/22/2021 6:38:14 p. m.,2021/11/22,6:38:14 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.771,51.4,3.80,
11/22/2021 6:38:19 p. m.,2021/11/22,6:38:19 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.770,51.4,3.79,
11/22/2021 6:38:24 p. m.,2021/11/22,6:38:24 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.769,51.4,3.79,
11/22/2021 6:38:29 p. m.,2021/11/22,6:38:29 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.768,51.3,3.78,
11/22/2021 6:38:34 p. m.,2021/11/22,6:38:34 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.769,51.2,3.78,
11/22/2021 6:38:39 p. m.,2021/11/22,6:38:39 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.770,51.2,3.78,
11/22/2021 6:38:44 p. m.,2021/11/22,6:38:44 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.771,51.2,3.78,
11/22/2021 6:38:49 p. m.,2021/11/22,6:38:49 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.770,51.1,3.77,
11/22/2021 6:38:54 p. m.,2021/11/22,6:38:54 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.770,51.1,3.77,
11/22/2021 6:38:59 p. m.,2021/11/22,6:38:59 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.769,51.1,3.77,
11/22/2021 6:39:04 p. m.,2021/11/22,6:39:04 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.770,51.0,3.76,
11/22/2021 6:39:09 p. m.,2021/11/22,6:39:09 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.772,50.9,3.76,
11/22/2021 6:39:14 p. m.,2021/11/22,6:39:14 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.770,50.7,3.75,
11/22/2021 6:39:19 p. m.,2021/11/22,6:39:19 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.770,50.6,3.73,
11/22/2021 6:39:24 p. m.,2021/11/22,6:39:24 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.772,50.4,3.72,
11/22/2021 6:39:29 p. m.,2021/11/22,6:39:29 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.771,50.2,3.71,
11/22/2021 6:39:34 p. m.,2021/11/22,6:39:34 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.772,50.1,3.70,
11/22/2021 6:39:39 p. m.,2021/11/22,6:39:39 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.772,50.0,3.69,
11/22/2021 6:39:44 p. m.,2021/11/22,6:39:44 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.772,49.9,3.68,
11/22/2021 6:39:49 p. m.,2021/11/22,6:39:49 p. m.,14.66,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.770,49.8,3.68,
11/22/2021 6:39:54 p. m.,2021/11/22,6:39:54 p. m.,14.66,4.88,133.7,308.9,688,553,1.5,0.344,0.34,0.0,10.771,49.8,3.67,
11/22/2021 6:39:59 p. m.,2021/11/22,6:39:59 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,49.7,3.67,
11/22/2021 6:40:04 p. m.,2021/11/22,6:40:04 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,49.6,3.66,
11/22/2021 6:40:09 p. m.,2021/11/22,6:40:09 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,49.4,3.65,
11/22/2021 6:40:14 p. m.,2021/11/22,6:40:14 p. m.,14.66,4.88,133.7,309.0,688,553,1.5,0.344,0.34,0.0,10.772,49.3,3.64,
11/22/2021 6:40:19 p. m.,2021/11/22,6:40:19 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,49.2,3.63,
11/22/2021 6:40:24 p. m.,2021/11/22,6:40:24 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,49.1,3.63,
11/22/2021 6:40:29 p. m.,2021/11/22,6:40:29 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,49.2,3.64,
11/22/2021 6:40:34 p. m.,2021/11/22,6:40:34 p. m.,14.66,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,49.5,3.66,
11/22/2021 6:40:39 p. m.,2021/11/22,6:40:39 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,49.9,3.68,
11/22/2021 6:40:44 p. m.,2021/11/22,6:40:44 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,50.2,3.71,
11/22/2021 6:40:49 p. m.,2021/11/22,6:40:49 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,50.4,3.72,
11/22/2021 6:40:54 p. m.,2021/11/22,6:40:54 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,50.6,3.73,
11/22/2021 6:40:59 p. m.,2021/11/22,6:40:59 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,50.7,3.74,
11/22/2021 6:41:04 p. m.,2021/11/22,6:41:04 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.768,50.7,3.74,
11/22/2021 6:41:09 p. m.,2021/11/22,6:41:09 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,50.8,3.75,
11/22/2021 6:41:14 p. m.,2021/11/22,6:41:14 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,50.9,3.75,
11/22/2021 6:41:19 p. m.,2021/11/22,6:41:19 p. m.,14.65,4.88,133.6,309.1,688,553,1.5,0.344,0.34,0.0,10.768,50.9,3.76,
11/22/2021 6:41:24 p. m.,2021/11/22,6:41:24 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.769,51.0,3.77,
11/22/2021 6:41:29 p. m.,2021/11/22,6:41:29 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,51.1,3.77,
11/22/2021 6:41:34 p. m.,2021/11/22,6:41:34 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.769,51.2,3.78,
11/22/2021 6:41:39 p. m.,2021/11/22,6:41:39 p. m.,14.65,4.88,133.5,308.9,688,553,1.5,0.344,0.34,0.0,10.769,51.2,3.78,
11/22/2021 6:41:44 p. m.,2021/11/22,6:41:44 p. m.,14.65,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.769,51.2,3.78,
11/22/2021 6:41:49 p. m.,2021/11/22,6:41:49 p. m.,14.65,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.770,51.2,3.78,
11/22/2021 6:41:54 p. m.,2021/11/22,6:41:54 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,51.3,3.79,
11/22/2021 6:41:59 p. m.,2021/11/22,6:41:59 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.769,51.4,3.79,
11/22/2021 6:42:04 p. m.,2021/11/22,6:42:04 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,51.4,3.80,
11/22/2021 6:42:09 p. m.,2021/11/22,6:42:09 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,51.4,3.79,
11/22/2021 6:42:14 p. m.,2021/11/22,6:42:14 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,51.3,3.79,
11/22/2021 6:42:19 p. m.,2021/11/22,6:42:19 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,51.2,3.78,
11/22/2021 6:42:24 p. m.,2021/11/22,6:42:24 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,51.1,3.77,
11/22/2021 6:42:29 p. m.,2021/11/22,6:42:29 p. m.,14.65,4.88,133.5,309.0,688,553,1.5,0.344,0.34,0.0,10.772,50.9,3.76,
11/22/2021 6:42:34 p. m.,2021/11/22,6:42:34 p. m.,14.65,4.88,133.5,309.0,688,553,1.5,0.344,0.34,0.0,10.771,50.7,3.74,
11/22/2021 6:42:39 p. m.,2021/11/22,6:42:39 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,50.5,3.73,
11/22/2021 6:42:44 p. m.,2021/11/22,6:42:44 p. m.,14.65,4.88,133.7,309.0,688,553,1.5,0.344,0.34,0.0,10.770,50.3,3.71,
11/22/2021 6:42:49 p. m.,2021/11/22,6:42:49 p. m.,14.65,4.88,133.6,308.9,688,553,1.5,0.344,0.34,0.0,10.771,50.1,3.70,
11/22/2021 6:42:54 p. m.,2021/11/22,6:42:54 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,50.0,3.69,
11/22/2021 6:42:59 p. m.,2021/11/22,6:42:59 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,49.7,3.67,
11/22/2021 6:43:04 p. m.,2021/11/22,6:43:04 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,49.6,3.66,
11/22/2021 6:43:09 p. m.,2021/11/22,6:43:09 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,49.4,3.65,
11/22/2021 6:43:14 p. m.,2021/11/22,6:43:14 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,49.4,3.64,
11/22/2021 6:43:19 p. m.,2021/11/22,6:43:19 p. m.,14.65,4.88,133.6,309.1,688,553,1.5,0.344,0.34,0.0,10.772,49.2,3.63,
11/22/2021 6:43:24 p. m.,2021/11/22,6:43:24 p. m.,14.65,4.88,133.6,309.1,688,553,1.5,0.344,0.34,0.0,10.771,49.1,3.62,
11/22/2021 6:43:29 p. m.,2021/11/22,6:43:29 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,49.0,3.62,
11/22/2021 6:43:34 p. m.,2021/11/22,6:43:34 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,48.8,3.60,
11/22/2021 6:43:39 p. m.,2021/11/22,6:43:39 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.772,48.6,3.59,
11/22/2021 6:43:44 p. m.,2021/11/22,6:43:44 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.773,48.5,3.58,
11/22/2021 6:43:49 p. m.,2021/11/22,6:43:49 p. m.,14.65,4.88,133.5,309.0,688,553,1.5,0.344,0.34,0.0,10.772,48.3,3.57,
11/22/2021 6:43:54 p. m.,2021/11/22,6:43:54 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,48.1,3.55,
11/22/2021 6:43:59 p. m.,2021/11/22,6:43:59 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.769,48.0,3.54,
11/22/2021 6:44:04 p. m.,2021/11/22,6:44:04 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,47.8,3.53,
11/22/2021 6:44:09 p. m.,2021/11/22,6:44:09 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,47.8,3.53,
11/22/2021 6:44:14 p. m.,2021/11/22,6:44:14 p. m.,14.65,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,47.8,3.53,
11/22/2021 6:44:19 p. m.,2021/11/22,6:44:19 p. m.,14.65,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.771,47.8,3.53,
11/22/2021 6:44:24 p. m.,2021/11/22,6:44:24 p. m.,14.65,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.769,47.7,3.52,
11/22/2021 6:44:29 p. m.,2021/11/22,6:44:29 p. m.,14.64,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.768,47.6,3.51,
11/22/2021 6:44:34 p. m.,2021/11/22,6:44:34 p. m.,14.64,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.770,47.4,3.50,
11/22/2021 6:44:39 p. m.,2021/11/22,6:44:39 p. m.,14.64,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.771,47.1,3.48,
11/22/2021 6:44:44 p. m.,2021/11/22,6:44:44 p. m.,14.64,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.770,47.1,3.47,
11/22/2021 6:44:49 p. m.,2021/11/22,6:44:49 p. m.,14.64,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.769,47.1,3.47,
11/22/2021 6:44:54 p. m.,2021/11/22,6:44:54 p. m.,14.64,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.770,47.1,3.48,
11/22/2021 6:44:59 p. m.,2021/11/22,6:44:59 p. m.,14.64,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.768,47.0,3.47,
11/22/2021 6:45:04 p. m.,2021/11/22,6:45:04 p. m.,14.64,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.768,47.1,3.47,
11/22/2021 6:45:09 p. m.,2021/11/22,6:45:09 p. m.,14.64,4.88,133.7,309.1,688,553,1.5,0.344,0.34,0.0,10.770,47.2,3.48,
11/22/2021 6:45:14 p. m.,2021/11/22,6:45:14 p. m.,14.64,4.88,133.7,309.2,688,553,1.5,0.344,0.34,0.0,10.771,47.4,3.50,
11/22/2021 6:45:19 p. m.,2021/11/22,6:45:19 p. m.,14.64,4.88,133.6,309.2,688,553,1.5,0.344,0.34,0.0,10.771,47.5,3.51,
11/22/2021 6:45:24 p. m.,2021/11/22,6:45:24 p. m.,14.64,4.88,133.7,309.2,688,553,1.5,0.344,0.34,0.0,10.772,47.6,3.52,
11/22/2021 6:45:29 p. m.,2021/11/22,6:45:29 p. m.,14.64,4.88,133.7,309.2,688,553,1.5,0.344,0.34,0.0,10.770,47.7,3.52,
11/22/2021 6:45:34 p. m.,2021/11/22,6:45:34 p. m.,14.64,4.88,133.7,309.2,688,553,1.5,0.344,0.34,0.0,10.770,47.6,3.51,
11/22/2021 6:45:39 p. m.,2021/11/22,6:45:39 p. m.,14.64,4.88,133.7,309.2,688,553,1.5,0.344,0.34,0.0,10.769,47.6,3.51,
11/22/2021 6:45:44 p. m.,2021/11/22,6:45:44 p. m.,14.64,4.88,133.6,309.2,688,553,1.5,0.344,0.34,0.0,10.771,47.5,3.51,
11/22/2021 6:45:49 p. m.,2021/11/22,6:45:49 p. m.,14.64,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.771,47.5,3.50,
11/22/2021 6:45:54 p. m.,2021/11/22,6:45:54 p. m.,14.64,4.88,133.6,309.0,688,553,1.5,0.344,0.34,0.0,10.770,47.4,3.50,
11/22/2021 6:45:59 p. m.,2021/11/22,6:45:59 p. m.,14.64,4.88,133.6,309.1,688,553,1.5,0.344,0.34,0.0,10.770,47.3,3.49,
11/22/2021 6:46:04 p. m.,2021/11/22,6:46:04 p. m.,14.64,4.88,133.6,309.1,688,552,1.5,0.344,0.34,0.0,10.770,47.3,3.49,
11/22/2021 6:46:09 p. m.,2021/11/22,6:46:09 p. m.,14.64,4.88,133.6,309.1,688,553,1.5,0.344,0.34,0.0,10.768,47.3,3.49,
11/22/2021 6:46:14 p. m.,2021/11/22,6:46:14 p. m.,14.64,4.88,133.6,309.1,688,552,1.5,0.344,0.34,0.0,10.770,47.2,3.49,
11/22/2021 6:46:19 p. m.,2021/11/22,6:46:19 p. m.,14.64,4.88,133.6,309.1,688,552,1.5,0.344,0.34,0.0,10.769,47.2,3.49,
11/22/2021 6:46:24 p. m.,2021/11/22,6:46:24 p. m.,14.64,4.88,133.6,309.1,688,552,1.5,0.344,0.34,0.0,10.770,47.3,3.49,
11/22/2021 6:46:29 p. m.,2021/11/22,6:46:29 p. m.,14.64,4.88,133.8,309.1,688,552,1.5,0.344,0.34,0.0,10.769,47.3,3.49,
11/22/2021 6:46:34 p. m.,2021/11/22,6:46:34 p. m.,14.64,4.88,133.6,309.1,688,552,1.5,0.344,0.34,0.0,10.770,47.3,3.49,
11/22/2021 6:46:39 p. m.,2021/11/22,6:46:39 p. m.,14.64,4.88,133.7,309.1,688,552,1.5,0.344,0.34,0.0,10.768,47.3,3.49,
11/22/2021 6:46:44 p. m.,2021/11/22,6:46:44 p. m.,14.64,4.88,133.7,309.1,688,552,1.5,0.344,0.34,0.0,10.770,47.1,3.48,
11/22/2021 6:46:49 p. m.,2021/11/22,6:46:49 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.769,47.0,3.47,
11/22/2021 6:46:54 p. m.,2021/11/22,6:46:54 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.769,46.9,3.46,
11/22/2021 6:46:59 p. m.,2021/11/22,6:46:59 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.770,46.8,3.46,
11/22/2021 6:47:04 p. m.,2021/11/22,6:47:04 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.770,46.7,3.45,
11/22/2021 6:47:09 p. m.,2021/11/22,6:47:09 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.768,46.6,3.44,
11/22/2021 6:47:14 p. m.,2021/11/22,6:47:14 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.770,46.5,3.43,
11/22/2021 6:47:19 p. m.,2021/11/22,6:47:19 p. m.,14.64,4.88,133.6,309.2,688,552,1.5,0.344,0.34,0.0,10.770,46.4,3.43,
11/22/2021 6:47:24 p. m.,2021/11/22,6:47:24 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.770,46.3,3.42,
11/22/2021 6:47:29 p. m.,2021/11/22,6:47:29 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.768,46.2,3.41,
11/22/2021 6:47:34 p. m.,2021/11/22,6:47:34 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.770,46.1,3.40,
11/22/2021 6:47:39 p. m.,2021/11/22,6:47:39 p. m.,14.64,4.88,133.6,309.2,688,552,1.5,0.344,0.34,0.0,10.768,46.0,3.39,
11/22/2021 6:47:44 p. m.,2021/11/22,6:47:44 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.767,45.9,3.39,
11/22/2021 6:47:49 p. m.,2021/11/22,6:47:49 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.769,45.8,3.38,
11/22/2021 6:47:54 p. m.,2021/11/22,6:47:54 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.769,45.7,3.37,
11/22/2021 6:47:59 p. m.,2021/11/22,6:47:59 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.770,45.6,3.37,
11/22/2021 6:48:04 p. m.,2021/11/22,6:48:04 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.769,45.5,3.36,
11/22/2021 6:48:09 p. m.,2021/11/22,6:48:09 p. m.,14.64,4.88,133.7,309.2,688,553,1.5,0.344,0.34,0.0,10.771,45.4,3.36,
11/22/2021 6:48:14 p. m.,2021/11/22,6:48:14 p. m.,14.64,4.88,133.8,309.2,688,552,1.5,0.344,0.34,0.0,10.769,45.4,3.35,
11/22/2021 6:48:19 p. m.,2021/11/22,6:48:19 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.769,45.4,3.35,
11/22/2021 6:48:24 p. m.,2021/11/22,6:48:24 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.770,45.6,3.36,
11/22/2021 6:48:29 p. m.,2021/11/22,6:48:29 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.770,45.7,3.37,
11/22/2021 6:48:34 p. m.,2021/11/22,6:48:34 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.769,45.8,3.38,
11/22/2021 6:48:39 p. m.,2021/11/22,6:48:39 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.770,45.8,3.38,
11/22/2021 6:48:44 p. m.,2021/11/22,6:48:44 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.771,45.9,3.39,
11/22/2021 6:48:49 p. m.,2021/11/22,6:48:49 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.771,45.9,3.39,
11/22/2021 6:48:54 p. m.,2021/11/22,6:48:54 p. m.,14.64,4.88,133.6,309.3,688,552,1.5,0.344,0.34,0.0,10.770,45.9,3.39,
11/22/2021 6:48:59 p. m.,2021/11/22,6:48:59 p. m.,14.64,4.88,133.6,309.2,688,552,1.5,0.344,0.34,0.0,10.769,45.9,3.39,
11/22/2021 6:49:04 p. m.,2021/11/22,6:49:04 p. m.,14.64,4.88,133.7,309.3,688,552,1.5,0.344,0.34,0.0,10.770,45.9,3.39,
11/22/2021 6:49:09 p. m.,2021/11/22,6:49:09 p. m.,14.64,4.88,133.7,309.3,688,552,1.5,0.344,0.34,0.0,10.767,45.9,3.39,
11/22/2021 6:49:14 p. m.,2021/11/22,6:49:14 p. m.,14.64,4.88,133.7,309.3,688,552,1.5,0.344,0.34,0.0,10.768,45.9,3.39,
11/22/2021 6:49:19 p. m.,2021/11/22,6:49:19 p. m.,14.64,4.88,133.7,309.3,688,552,1.5,0.344,0.34,0.0,10.769,45.9,3.39,
11/22/2021 6:49:24 p. m.,2021/11/22,6:49:24 p. m.,14.64,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.769,45.8,3.38,
11/22/2021 6:49:29 p. m.,2021/11/22,6:49:29 p. m.,14.64,4.88,133.6,309.2,688,552,1.5,0.344,0.34,0.0,10.770,45.6,3.37,
11/22/2021 6:49:34 p. m.,2021/11/22,6:49:34 p. m.,14.64,4.88,133.5,309.2,688,552,1.5,0.344,0.34,0.0,10.770,45.0,3.33,
11/22/2021 6:49:39 p. m.,2021/11/22,6:49:39 p. m.,14.64,4.89,133.5,309.1,688,552,1.5,0.344,0.34,0.0,10.768,44.8,3.31,
11/22/2021 6:49:44 p. m.,2021/11/22,6:49:44 p. m.,14.64,4.89,133.4,309.1,688,552,1.5,0.344,0.34,0.0,10.769,44.9,3.32,
11/22/2021 6:49:49 p. m.,2021/11/22,6:49:49 p. m.,14.64,4.89,133.4,309.2,688,552,1.5,0.344,0.34,0.0,10.771,45.3,3.35,
11/22/2021 6:49:54 p. m.,2021/11/22,6:49:54 p. m.,14.64,4.89,133.5,309.2,688,552,1.5,0.344,0.34,0.0,10.774,46.0,3.40,
11/22/2021 6:49:59 p. m.,2021/11/22,6:49:59 p. m.,14.64,4.88,133.5,309.2,688,552,1.5,0.344,0.34,0.0,10.772,46.5,3.44,
11/22/2021 6:50:04 p. m.,2021/11/22,6:50:04 p. m.,14.64,4.88,133.6,309.2,688,552,1.5,0.344,0.34,0.0,10.773,46.9,3.46,
11/22/2021 6:50:09 p. m.,2021/11/22,6:50:09 p. m.,14.63,4.88,133.6,309.2,688,552,1.5,0.344,0.34,0.0,10.774,47.0,3.47,
11/22/2021 6:50:14 p. m.,2021/11/22,6:50:14 p. m.,14.63,4.88,133.6,309.2,688,552,1.5,0.344,0.34,0.0,10.773,47.1,3.48,
11/22/2021 6:50:19 p. m.,2021/11/22,6:50:19 p. m.,14.63,4.88,133.6,309.2,688,552,1.5,0.344,0.34,0.0,10.772,47.4,3.50,
11/22/2021 6:50:24 p. m.,2021/11/22,6:50:24 p. m.,14.63,4.88,133.7,309.2,688,552,1.5,0.344,0.34,0.0,10.772,47.6,3.52,
